id,status,news,chance_of_playing_this_round,chance_of_playing_next_round
1,a,,,
2,a,,,
3,a,,,
4,a,,,
5,i,Groin injury - Unknown return date,0,0
6,i,Back injury - Unknown return date,0,0
7,a,,,
8,a,,,
9,a,,,
10,a,,100,100
11,a,,,
12,a,,,
13,a,,,
14,a,,,
15,a,,,
16,a,,,
17,a,,,
18,a,,,
19,a,,,
20,a,,,
22,a,,,
23,a,,,
24,a,,,
25,a,,,
26,a,,,
27,a,,,
31,a,,,
452,d,Thigh injury - 75% chance of playing,75,75
557,a,,,
28,a,,,
29,a,,,
30,u,Has joined Paris Saint-Germain permanently,0,0
32,a,,,
33,a,,,
34,a,,,
35,a,,,
36,a,,,
37,a,,,
38,a,,,
39,u,Has joined Rangers on loan for the rest of the season,0,0
41,a,,,
44,a,,,
45,a,,,
46,a,,,
47,a,,100,100
48,i,Knee injury - Unknown return date,0,0
49,u,Has joined Bolton Wanderers on loan for the rest of the season,0,0
50,a,,,
51,a,,,
52,a,,,
53,i,Knee injury - Unknown return date,0,0
54,s,Suspended until 19 Sep,0,0
55,a,,,
56,d,Knock - 50% chance of playing,50,50
160,a,,,
582,i,Unspecified injury - Unknown return date,0,0
596,a,,,
597,a,,,
606,a,,,
607,a,,,
611,a,,,
618,a,,,
57,a,,,
58,a,,,
59,u,Has joined MK Dons permanently,0,0
60,a,,,
61,a,,,
62,a,,,
63,i,Unspecified injury - Unknown return date,0,0
64,a,,,
65,i,Thigh injury - Unknown return date,0,0
66,d,Hamstring injury - 75% chance of playing,75,75
67,a,,,
68,a,,,
69,a,,,
70,a,,,
71,a,,,
72,a,,,
73,a,,100,100
74,a,,100,100
75,a,,100,100
76,a,,,
77,i,Unspecified injury - Unknown return date,0,0
78,i,Foot injury - Unknown return date,0,0
79,a,,,
80,u,Has joined Getafe permanently,0,0
81,a,,100,100
566,a,,,
573,a,,,
608,a,,,
615,a,,,
82,a,,,
83,a,,,
84,a,,,
85,i,Groin injury - Unknown return date,0,0
86,a,,,
87,a,,,
88,a,,,
89,a,,,
90,a,,,
92,a,,,
93,a,,,
94,a,,,
95,a,,,
96,a,,,
97,a,,,
98,a,,,
99,i,Knee injury - Unknown return date,0,0
100,a,,100,100
102,a,,,
103,a,,,
105,a,,,
106,a,,,
107,a,,,
108,a,,,
565,a,,,
620,a,,,
109,a,,,
111,a,,,
113,a,,100,100
114,a,,,
115,a,,,
116,a,,,
117,a,,,
118,a,,,
119,a,,,
120,a,,,
121,i,Hamstring injury - Unknown return date,0,0
122,i,Leg injury - Expected back 28 Nov,0,0
123,d,Unspecified injury - 25% chance of playing,25,25
124,a,,,
125,d,Unspecified injury - 75% chance of playing,75,75
126,a,,,
127,a,,,
128,u,Has joined Elche on loan for the rest of the season,0,0
129,a,,,
130,a,,,
132,u,Has joined Leicester City on loan for the rest of the season,0,0
133,u,Has joined Leicester City on loan for the rest of the season,0,0
134,a,,,
135,a,,,
137,i,Knee injury - Unknown return date,0,0
138,a,,,
139,i,Ankle injury - Expected back 10 Oct,0,0
328,a,,100,100
504,a,,,
594,a,,,
600,a,,,
605,a,,,
614,a,,,
40,a,,,
101,d,Wrist injury - 75% chance of playing,75,75
136,a,,100,100
140,a,,,
141,u,Has joined RC Strasbourg on loan for the rest of the season,0,0
142,a,,,
143,u,Has joined Como permanently,0,0
144,a,,,
145,a,,100,100
146,u,Has joined Napoli on loan for the rest of the season,0,0
147,a,,,
148,a,,,
149,a,,,
150,a,,,
151,a,,,
152,d,Unspecified injury - 75% chance of playing,75,75
154,a,,100,100
155,a,,,
156,a,,,
157,a,,,
158,a,,,
159,d,Unspecified injury - 75% chance of playing,75,75
161,a,,,
163,a,,,
164,a,,100,100
165,a,,,
166,a,,,
168,a,,,
169,a,,,
170,a,,100,100
200,a,,,
560,a,,,
561,a,,100,100
568,a,,,
578,a,,,
583,a,,,
91,a,,,
104,a,,,
110,a,,,
171,a,,,
172,a,,,
173,a,,,
174,a,,,
175,a,,,
176,a,,,
177,i,Hamstring injury - Unknown return date,0,0
178,a,,,
179,a,,,
180,i,Knee injury - Unknown return date,0,0
181,a,,,
182,a,,,
183,a,,100,100
184,a,,,
185,a,,,
186,a,,100,100
187,a,,,
188,a,,,
189,a,,,
190,a,,,
191,a,,,
192,a,,,
193,i,Thigh injury - Unknown return date,0,0
194,a,,,
195,a,,,
196,u,Has joined Shabab Al-Ahli Dubai permanently,0,0
197,u,Has joined KVC Westerlo on loan for the rest of the season,0,0
492,a,,,
575,a,,,
584,a,,,
599,a,,,
42,a,,,
153,a,,,
198,a,,100,100
199,a,,,
201,a,,,
202,a,,,
203,a,,,
204,a,,,
205,a,,,
206,i,Knee injury - Unknown return date,0,0
207,a,,,
208,i,Groin injury - Unknown return date,0,0
210,a,,100,100
211,a,,,
212,a,,,
213,a,,,
214,a,,,
215,a,,,
216,a,,,
217,a,,,
218,a,,,
219,a,,,
220,u,Has joined Bristol City on loan for the rest of the season,0,0
221,a,,,
222,a,,,
223,a,,,
224,a,,,
225,u,has returned to Getafe CF,0,0
241,a,,,
555,a,,,
577,a,,,
588,a,,,
595,a,,,
21,i,Unspecified injury - Unknown return date,0,0
209,a,,,
226,a,,,
227,a,,,
228,a,,,
229,a,,,
230,a,,,
231,a,,,
232,a,,,
233,a,,,
234,a,,,
235,a,,,
236,a,,,
237,a,,,
239,a,,100,100
240,i,Thigh injury - Unknown return date,0,0
242,a,,,
243,a,,,
244,a,,,
245,a,,,
246,a,,,
247,d,Ankle injury - 50% chance of playing,50,50
248,a,,,
249,a,,,
250,a,,,
251,a,,,
252,a,,,
253,a,,100,100
254,a,,,
255,a,,,
256,a,,,
257,a,,,
258,a,,,
261,a,,,
262,a,,,
263,a,,,
264,a,,,
265,a,,,
266,i,Knee injury - Expected back 10 Oct,0,0
268,a,,,
269,a,,,
270,a,,,
271,a,,,
272,a,,,
569,a,,,
570,a,,,
580,a,,,
610,d,Unspecified injury - 75% chance of playing,75,75
273,a,,,
274,i,Arm injury - Unknown return date,0,0
275,u,Has joined Grimsby Town on loan for the rest of the season,0,0
276,u,Has joined Colchester United on loan for the rest of the season,0,0
277,a,,,
278,i,Groin injury - Unknown return date,0,0
279,a,,100,100
280,a,,100,100
281,a,,100,100
282,a,,,
283,i,Hip injury - Expected back 5 Sep,0,0
284,a,,,
285,a,,,
286,a,,,
287,a,,,
288,a,,,
289,a,,,
290,a,,,
291,i,Knee injury - Unknown return date,0,0
292,a,,,
293,u,Has joined Portsmouth permanently,0,0
294,i,Thigh injury - Unknown return date,0,0
295,a,,,
296,a,,,
297,i,Thigh injury - Unknown return date,0,0
298,u,Has joined Konyaspor permanently,0,0
299,u,Has joined Sheffield Wednesday on loan for the rest of the season,0,0
340,i,Ankle injury - Expected back 5 Sep,0,0
556,a,,,
563,a,,100,100
572,a,,,
574,a,,,
576,a,,,
585,a,,,
586,a,,100,100
589,a,,,
617,a,,,
259,a,,,
267,a,,,
300,a,,,
301,a,,,
302,a,,,
303,a,,,
304,a,,,
305,a,,,
306,a,,,
307,a,,,
308,a,,,
309,a,,,
310,i,Muscular injury - Unknown return date,0,0
311,u,Has joined Leicester City permanently,0,0
312,i,Knee injury - Unknown return date,0,0
313,a,,,
314,a,,,
315,a,,,
316,a,,,
317,u,Has joined Stoke City permanently,0,0
318,i,Ankle injury - Unknown return date,0,0
319,u,Has joined Derby County on loan for the rest of the season,0,0
320,a,,,
321,a,,,
322,u,Has joined Sheffield Wednesday on loan for the rest of the season,0,0
323,a,,,
324,a,,,
554,u,Has joined Valencia on loan for the rest of the season,0,0
562,a,,,
564,a,,,
571,d,Calf injury - 75% chance of playing,75,75
591,a,,100,100
592,a,,,
602,a,,,
619,a,,,
260,a,,,
326,a,,,
327,a,,,
329,a,,,
330,a,,,
331,d,Hamstring injury - 75% chance of playing,75,75
332,a,,,
333,u,Has joined Hamburg SV on loan for the rest of the season,0,0
334,a,,,
335,a,,,
336,a,,,
337,a,,,
338,a,,,
339,a,,,
341,d,Hamstring injury - 75% chance of playing,75,75
342,u,Has joined New England Revolution permanently,0,0
